ОЭС;Дата;Час;Объем полного планового потребления, МВт*ч;Объем планового производства, МВт*ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт*ч;Индекс равновесных цен на продажу электроэнергии, руб.МВт*ч;Максимальный индекс равновесной цены, руб.МВт*ч;Минимальный индекс равновесной цены, руб.МВт*ч;
ОЭС Центра;01.06.2023;0;23148.21;21638.80;1545.57;1498.01;1662.78;1143.74;
ОЭС Центра;01.06.2023;1;22530.71;21438.20;1348.73;1308.12;1441.58;1035.92;
ОЭС Центра;01.06.2023;2;22001.10;21112.05;1127.91;1094.01;1207.14;849.06;
ОЭС Центра;01.06.2023;3;21646.32;20526.07;1087.61;1053.82;1163.21;785.08;
ОЭС Центра;01.06.2023;4;21415.40;20777.32;1091.26;1057.76;1178.70;768.69;
ОЭС Центра;01.06.2023;5;21958.48;21396.97;1328.59;1288.57;1442.00;984.61;
ОЭС Центра;01.06.2023;6;23307.45;22620.70;1531.78;1485.79;1653.06;1194.11;
ОЭС Центра;01.06.2023;7;24180.04;23164.34;1812.48;1697.37;2012.46;1370.24;
ОЭС Центра;01.06.2023;8;25976.10;24665.18;1949.96;1886.58;2116.04;1674.65;
ОЭС Центра;01.06.2023;9;27039.58;25371.17;2033.00;1949.55;2378.52;1740.26;
ОЭС Центра;01.06.2023;10;27254.68;25421.26;2048.92;1965.27;2383.24;1736.90;
ОЭС Центра;01.06.2023;11;27157.58;25125.44;2047.68;1970.51;2273.63;1772.74;
ОЭС Центра;01.06.2023;12;26899.29;25002.56;2041.60;1963.82;2267.68;1753.78;
ОЭС Центра;01.06.2023;13;27052.23;25295.56;2049.60;1970.74;2312.32;1731.55;
ОЭС Центра;01.06.2023;14;27010.82;24629.41;2085.15;2016.12;2278.99;1776.57;
ОЭС Центра;01.06.2023;15;26804.56;24490.68;2056.28;1985.90;2255.77;1733.04;
ОЭС Центра;01.06.2023;16;26594.03;24363.39;2041.98;1973.14;2235.88;1713.83;
ОЭС Центра;01.06.2023;17;26368.62;24264.26;2025.35;1958.07;2212.86;1690.06;
ОЭС Центра;01.06.2023;18;26191.47;24191.13;2012.80;1946.97;2193.52;1704.98;
ОЭС Центра;01.06.2023;19;25884.66;24065.05;1994.97;1930.55;2169.78;1655.76;
ОЭС Центра;01.06.2023;20;25846.24;24079.79;1992.45;1928.86;2163.47;1648.80;
ОЭС Центра;01.06.2023;21;26202.23;24198.52;2009.27;1944.51;2183.38;1662.58;
ОЭС Центра;01.06.2023;22;25142.74;23274.07;1915.45;1853.07;2092.02;1546.02;
ОЭС Центра;01.06.2023;23;23579.04;22634.67;1572.62;1505.24;1711.84;1280.94;
ОЭС Центра;31.05.2023;0;22891.31;22043.80;1204.26;1163.42;1297.06;908.34;
ОЭС Центра;31.05.2023;1;22043.24;21296.61;1064.26;1027.21;1145.15;753.96;
ОЭС Центра;31.05.2023;2;21509.90;20889.28;991.29;956.84;1065.03;669.56;
ОЭС Центра;31.05.2023;3;21172.70;20902.28;942.70;910.06;1012.15;627.50;
ОЭС Центра;31.05.2023;4;20922.44;20912.38;923.12;890.95;995.00;623.56;
ОЭС Центра;31.05.2023;5;21547.12;21498.22;1077.22;1039.46;1166.95;743.00;
ОЭС Центра;31.05.2023;6;23173.41;22726.29;1465.21;1408.69;1611.95;1091.57;
ОЭС Центра;31.05.2023;7;24271.75;23947.45;1725.48;1664.32;1868.04;1413.72;
ОЭС Центра;31.05.2023;8;26202.45;25580.01;1962.91;1788.07;2148.26;1172.17;
ОЭС Центра;31.05.2023;9;27432.66;26001.67;2044.79;1969.15;2238.25;1866.61;
ОЭС Центра;31.05.2023;10;27739.34;26092.08;2063.42;1985.98;2264.71;1884.23;
ОЭС Центра;31.05.2023;11;27642.21;26003.82;2055.73;1978.90;2255.95;1812.96;
ОЭС Центра;31.05.2023;12;27298.22;25878.43;2039.76;1964.27;2233.46;1745.05;
ОЭС Центра;31.05.2023;13;27545.06;25988.40;2059.79;1983.16;2258.04;1801.69;
ОЭС Центра;31.05.2023;14;27544.55;25959.60;2062.20;1984.74;2263.79;1747.14;
ОЭС Центра;31.05.2023;15;27411.08;25429.76;2079.55;2002.02;2284.68;1749.65;
ОЭС Центра;31.05.2023;16;27168.47;25271.33;2068.68;1991.64;2271.64;1747.65;
ОЭС Центра;31.05.2023;17;26879.39;25068.88;2052.46;1975.91;2253.26;1670.03;
ОЭС Центра;31.05.2023;18;26711.90;24993.79;2039.26;1963.67;2236.25;1692.87;
ОЭС Центра;31.05.2023;19;26388.96;24893.76;2020.16;1945.97;2209.24;1640.18;
ОЭС Центра;31.05.2023;20;26340.85;24899.11;2014.99;1941.28;2199.81;1597.26;
ОЭС Центра;31.05.2023;21;26589.50;24929.24;2016.93;1943.05;2199.91;1626.29;
ОЭС Центра;31.05.2023;22;25451.90;23913.22;1868.17;1798.79;2044.19;1398.55;
ОЭС Центра;31.05.2023;23;23789.52;22889.82;1526.51;1471.83;1654.89;1079.34;
ОЭС Центра;30.05.2023;0;22919.90;22136.92;1251.12;1209.60;1347.57;1034.13;
ОЭС Центра;30.05.2023;1;22105.45;21723.10;1096.24;1059.96;1177.52;829.10;
ОЭС Центра;30.05.2023;2;21622.48;21297.70;1062.89;1026.87;1144.55;727.79;
ОЭС Центра;30.05.2023;3;21266.28;21049.12;1032.89;997.67;1112.22;688.61;
ОЭС Центра;30.05.2023;4;21040.97;21139.60;1038.29;1002.71;1115.18;704.45;
ОЭС Центра;30.05.2023;5;21610.47;21968.81;1174.64;1135.57;1272.51;807.42;
ОЭС Центра;30.05.2023;6;23204.07;22938.72;1517.96;1466.65;1637.75;1137.71;
ОЭС Центра;30.05.2023;7;24192.31;23783.20;1792.12;1729.07;1939.16;1477.91;
ОЭС Центра;30.05.2023;8;26065.82;25048.85;1971.43;1900.73;2137.40;1705.00;
ОЭС Центра;30.05.2023;9;27210.11;25376.73;2033.63;1958.43;2220.19;1742.19;
